x,y,z
0.08183806,-0.9319084,-0.06871336
0.06315504,-0.9333342,-0.07491267
0.05850559,-0.9344957,-0.07531084
0.06495722,-0.9361832,-0.05841045
0.0457398,-0.9392149,-0.04842892
0.0457398,-0.9392149,-0.04842892
0.01438145,-0.947522,-0.04072074
-0.02034657,-0.950465,-0.04086408
-0.0447994,-0.9515286,-0.03432224
-0.06931984,-0.9492007,-0.03306298
-0.08316424,-0.9472916,-0.03354203
-0.1009879,-0.9435077,-0.02539241
-0.1226764,-0.9374294,-0.0133855
-0.135014,-0.9316601,-0.0023088
-0.138089,-0.9293582,0.003303662
-0.1486674,-0.9235362,0.0136589
-0.1545063,-0.9190372,0.02834352
-0.162716,-0.9090275,0.04236
-0.1680011,-0.9033467,0.04981298
-0.178362,-0.8898652,0.06373795
-0.1916589,-0.8710238,0.07062562
-0.2014371,-0.8446541,0.07209408
-0.1416753,0.1783866,-0.1647144
-0.1416753,0.1783866,-0.1647144
-0.1538921,0.179068,-0.1597524
-0.160668,0.1805153,-0.1552868
-0.1636363,0.1822347,-0.1475308
-0.1636363,0.1822347,-0.1475308
-0.164846,0.1816556,-0.1373902
-0.164846,0.1816556,-0.1373902
-0.149449,0.1759974,-0.1164397
-0.1293305,0.1738338,-0.1111366
-0.1293305,0.1738338,-0.1111366
-0.1157107,0.1721428,-0.1066839
-0.04443574,0.1675682,-0.08490228
-0.04443574,0.1675682,-0.08490228
-0.001777314,0.1655587,-0.06583954
-0.001777314,0.1655587,-0.06583954
0.03338533,0.352724,-0.05303868
0.05106091,0.3481011,-0.03934798
0.06652005,0.3448919,-0.02914406
0.07681912,0.3434156,-0.02715776
0.09814706,0.3391804,-0.01961854
0.1167479,0.3329763,-0.004130973
0.1424954,0.3269365,0.006284824
0.1424954,0.3269365,0.006284824
0.1714061,0.3245094,0.01518088
0.1829512,0.3238542,0.02174486
0.2009269,0.3239874,0.03347983
0.2169838,0.3276633,0.04435767
0.2226378,0.3301382,0.05148231
0.2295428,0.3343452,0.06759983
0.2336864,0.3456947,0.08115531
0.232746,0.3575703,0.08793373
0.2292949,0.3831758,0.09998988
0.2379442,0.3924265,0.1104677
0.2556803,0.380175,0.1182569
0.2611532,0.3746514,0.1216651
0.2649827,0.3687338,0.1302982
0.2693054,0.3614958,0.1346596
0.279722,0.3525084,0.1408304
0.2835589,0.3493541,0.1427719
0.2838017,0.3497073,0.1653747
0.2851791,0.3469268,0.1699063
0.292295,0.3354912,0.1707295
0.2921791,0.332259,0.1737718
0.2833658,0.3321308,0.1874237
0.2827908,0.3303092,0.1902961
0.2760279,0.3293297,0.1984822
0.2717816,0.3295279,0.2027226
0.258613,0.3279762,0.2137901
0.2514486,0.3283789,0.2189253
0.2366097,0.3297404,0.228012
0.2295292,0.3286451,0.2315292
0.1990247,0.3332607,0.2461677
0.1891752,0.3348041,0.2498617
0.1676275,0.3382822,0.2584972
0.1414067,0.3411579,0.2654463
0.1289673,0.34177,0.2662829
-0.05984748,0.7548638,0.2809624
-0.1018636,0.7563349,0.2604264
-0.1296792,0.7600343,0.2274847
-0.142837,0.7613126,0.205953
-0.1718922,0.7630705,0.1527241
-0.1763246,0.7664805,0.1086393
-0.1695102,0.7650171,0.07730415
-0.1702273,0.7622183,0.06158866
-0.1657379,0.7611741,0.03417168
-0.1627074,0.75398,0.01333422
-0.162932,0.7500011,0.001573947
-0.1663309,0.7382876,-0.02407015
-0.1783654,0.7248207,-0.0497609
-0.191619,0.7169551,-0.05619674
-0.1950433,0.7070609,-0.06145799
-0.1956169,0.7013713,-0.06273919
-0.1956169,0.7013713,-0.06273919
-0.2100827,0.6855692,-0.05706771
-0.2100827,0.6855692,-0.05706771
-0.2145348,0.6723434,-0.05937549
-0.2145348,0.6723434,-0.05937549
-0.225675,0.6615296,-0.06093954
-0.225675,0.6615296,-0.06093954
-0.22501,0.6541335,-0.07052831
-0.2273864,0.650403,-0.07395662
-0.2322919,0.6446605,-0.08220434
-0.2322919,0.6446605,-0.08220434
-0.2228994,0.6359186,-0.1013103
-0.2228994,0.6359186,-0.1013103
-0.2072532,0.627065,-0.1125427
-0.200321,0.6237151,-0.1174095
-0.1846529,0.6183327,-0.130905
-0.1686759,0.6135447,-0.1451606
-0.1582715,0.6115841,-0.1529088
-0.1263028,0.6069298,-0.1720943
-0.09498982,0.6010475,-0.1902845
-0.08084597,0.6010901,-0.1983281
-0.05565138,0.5919606,-0.2113569
-0.02985887,0.5831017,-0.2195944
-0.01127381,0.5750184,-0.2231016
-0.002503619,0.5700732,-0.2269198
0.01491278,0.5601915,-0.2326185
0.02360624,0.5566024,-0.2344176
0.04731357,0.5437365,-0.2424516
0.05168989,0.5403292,-0.2434657
0.05168989,0.5403292,-0.2434657
0.0682504,0.5312686,-0.2493262
0.08356062,0.5232617,-0.2531232
0.09220506,0.5164476,-0.2569212
0.103051,0.5093991,-0.2605923
0.1118965,0.5080447,-0.2618756
0.1314619,0.4935488,-0.2676782
0.1343295,0.4904783,-0.2687648
0.1420113,0.4839439,-0.2734338
0.1466436,0.4794762,-0.2776546
0.156195,0.4655854,-0.2880031
0.1591499,0.4609679,-0.2913257
0.1659509,0.4516767,-0.2975239
0.1698603,0.4465832,-0.301218
0.177303,0.4309103,-0.3107996
0.1796156,0.4257987,-0.3130072
0.1796156,0.4257987,-0.3130072
0.185967,0.4150667,-0.3180315
0.1916748,0.4087054,-0.3219597
0.2050291,0.3862873,-0.3260291
0.2136418,0.370878,-0.3307929
0.2164089,0.3624072,-0.3318694
0.2175542,0.3423041,-0.3315901
0.2192707,0.3361218,-0.3324077
0.2260801,0.3224371,-0.3349473
0.2301729,0.3156582,-0.3355867
0.2371752,0.295908,-0.3388121
0.2411105,0.2904824,-0.3385715
0.2588259,0.2832119,-0.3349349
0.2719029,0.2790624,-0.3330415
0.3063434,0.2704733,-0.3178788
0.3218019,0.2699061,-0.3100896
0.3218019,0.2699061,-0.3100896
0.3553396,0.2672077,-0.2998435
0.366721,0.2634311,-0.2961436
0.3850476,0.2593032,-0.2816514
0.3850476,0.2593032,-0.2816514
0.3844576,0.2609082,-0.2761796
0.3793065,0.2675303,-0.2630318
0.3712083,0.2985489,-0.2247736
0.3712083,0.2985489,-0.2247736
0.3688399,0.3209124,-0.1959671
0.3726983,0.3304079,-0.1833833
0.376733,0.3341379,-0.1780998
0.3830855,0.3413841,-0.164157
0.3799972,0.3574505,-0.1392309
0.3799972,0.3574505,-0.1392309
0.3749184,0.3590009,-0.1205721
0.3738278,0.3581043,-0.1124074
0.3730677,0.3534084,-0.09393721
0.3730677,0.3534084,-0.09393721
0.3726176,0.3502176,-0.07459167
0.3729579,0.3474266,-0.06572857
0.3664787,0.3399992,-0.04057146
0.3630251,0.3410585,-0.02931595
0.3543885,0.347981,0.002583713
0.3423114,0.3556063,0.03307556
0.3279128,0.3619991,0.05626081
0.32116,0.3657657,0.06990303
0.3070156,0.3785386,0.1044122
0.2986305,0.3853873,0.1227657
0.269442,0.3892037,0.1594312
0.2585319,0.3894244,0.1676557
0.2362449,0.3944251,0.1869339
0.218183,0.3995412,0.2050789
0.2016251,0.4038801,0.2186626
0.1919486,0.4070284,0.2263458
0.1737595,0.4102329,0.240716
0.1638357,0.4093811,0.2482079
0.1319407,0.407416,0.2793187
0.1235845,0.4088368,0.2875376
0.1137828,0.4117047,0.2973751
0.1094745,0.4139187,0.3014936
0.1031909,0.4177864,0.3064499
0.1021765,0.4203211,0.3081941
0.09814654,0.4247722,0.3154882
0.09368288,0.4268093,0.3202557
0.07988501,0.432103,0.3323919
0.07988501,0.432103,0.3323919
0.07559128,0.435526,0.335912
0.0644765,0.4432376,0.3441787
0.05465169,0.4500223,0.3537179
0.04671991,0.4566028,0.3623927
0.04280724,0.4604154,0.3661417
0.03487143,0.4668537,0.3709838
0.02303439,0.4718093,0.3745464
0.01738019,0.4754602,0.378273
-0.06602442,0.6122537,0.3888016
-0.0729292,0.6122516,0.3909963
-0.08708075,0.6127374,0.3908617
-0.09888519,0.6125599,0.3921072
-0.1048464,0.6151992,0.385882
-0.1175764,0.6196549,0.3751696
-0.1257725,0.6206908,0.375166
-0.1308216,0.620407,0.373318
-0.1305882,0.6181079,0.3708564
-0.1371779,0.612873,0.3614891
-0.1462242,0.6075415,0.3516491
-0.1499311,0.6031348,0.3458665
-0.1563735,0.5927724,0.3473543
-0.1753125,0.5644177,0.359433
-0.1873148,0.5468177,0.3675817
-0.2013462,0.52148,0.3806523
-0.2138494,0.5068491,0.3885919
-0.2320459,0.4957415,0.4051234
-0.2320459,0.4957415,0.4051234
-0.2372142,0.4925519,0.4125015
-0.2470043,0.4898664,0.422343
-0.2577314,0.4922921,0.4274986
-0.2661366,0.493763,0.4252363
-0.2762683,0.4885849,0.4235447
-0.292352,0.4722005,0.4246321
-0.3057241,0.4578158,0.4272988
-0.3438481,0.4283133,0.4334527
-0.3593499,0.4153201,0.4372059
-0.3796909,0.395927,0.4409242
-0.4071154,0.3702702,0.4421437
-0.4234413,0.3509222,0.4421372
-0.4306237,0.3417137,0.4406067
-0.4439936,0.3259548,0.4341097
-0.4458876,0.3200822,0.4269315
-0.445249,0.3172655,0.4209743
-0.4418245,0.3180939,0.4183655
-0.4336618,0.3258238,0.4109326
-0.4246358,0.3403322,0.399771
-0.3970374,0.3715779,0.383442
-0.3721934,0.3985803,0.3703531
-0.3156192,0.4562166,0.3393482
-0.2293736,0.3799233,0.3440262
-0.1934347,0.4049543,0.3185237
-0.1698817,0.4255507,0.3065759
-0.1211951,0.4735029,0.2819991
-0.08707833,0.5094078,0.2654442
-0.05422463,0.534528,0.2497038
-0.03499882,0.5467589,0.2401148
0.002304428,0.5691005,0.2215311
0.03889398,0.5875425,0.2069218
0.07259993,0.5974904,0.1988195
0.08819911,0.6009769,0.1957034
0.1112649,0.6052988,0.1920985
0.1229846,0.6051623,0.1923781
0.1367617,0.6075447,0.1897111
0.145965,0.6088203,0.1891432
0.1628391,0.610917,0.1967084
0.1882213,0.6164734,0.2070944
0.2159139,0.620176,0.2206008
0.2262421,0.6200605,0.2313755
0.2387038,0.6201655,0.2522589
0.2443458,0.6216862,0.2577704
0.2625624,0.6259179,0.26385
0.2687362,0.6286816,0.2744723
0.2733121,0.6306992,0.2790935
0.2784177,0.630753,0.2789545
0.2784177,0.630753,0.2789545
0.2808974,0.6297552,0.2815166
0.2826494,0.6290624,0.2870316
0.2845396,0.6258173,0.2961784
0.2774075,0.6204392,0.3066738
0.2725642,0.6132446,0.3170471
0.2636732,0.6055085,0.3321686
0.2570469,0.6014953,0.3423806
0.2455489,0.5917613,0.3633824
0.2365539,0.5829301,0.3829581
0.2284687,0.5748262,0.4027166
0.2252681,0.5711463,0.4132395
0.2244986,0.5656869,0.4299866
0.2245296,0.5635129,0.442383
0.2245296,0.5635129,0.442383
0.2172513,0.5618909,0.4596778
0.2139336,0.5592605,0.4703864
0.2123777,0.5557809,0.4814302
0.2102004,0.5484205,0.4894144
0.2061084,0.5444198,0.4928727
0.1930876,0.5356266,0.4990278
0.1728612,0.5266579,0.5023944
0.13831,0.5145646,0.4998961
0.1151358,0.5056061,0.494012
0.0697944,0.4828642,0.4674955
-0.09623003,0.6772244,0.4198743
-0.1053942,0.6503741,0.3638717
-0.1251131,0.6400725,0.3339742
-0.1251131,0.6400725,0.3339742
-0.1639513,0.6318602,0.2884199
-0.1781736,0.6288475,0.2757449
-0.1834936,0.6374109,0.2638561
-0.1998502,0.6488707,0.2415748
-0.2108176,0.6612555,0.2063469
-0.2108176,0.6612555,0.2063469
-0.2208056,0.6736971,0.1638522
-0.2312148,0.6753281,0.1448447
-0.2432545,0.6748926,0.1128559
-0.2326162,0.6798835,0.09036323
-0.2256722,0.689405,0.06947211
-0.2284882,0.692421,0.05797672
-0.2324401,0.6845613,0.01675287
-0.2324401,0.6845613,0.01675287
-0.2266814,0.6884665,0.0009440563
-0.2265931,0.6913358,0.0002554811
-0.223221,0.7018519,0.0181974
-0.2016239,0.7169906,0.05005413
-0.1753933,0.722178,0.08717141
-0.1556627,0.7215937,0.1096165
-0.09574308,0.7075897,0.1592716
-0.01655418,0.6798527,0.2169671
-0.02029671,0.6801444,0.2375486
-0.02152108,0.6781307,0.2362896
-0.01568804,0.6711316,0.2377076
-0.01271742,0.6687836,0.2430058
-0.0109547,0.6684913,0.2495841
-0.00905939,0.6680181,0.2490652
-0.007902675,0.6679106,0.2490173
-0.006738526,0.6659225,0.2605608
